smiles,pred_pIC50,novel,formula,MW,LogP,HBD,HBA,TPSA,RotBonds,HeavyAtoms,Fsp3,MR,Rings,AromaticRings,QED,Lipinski,LipViolations,Ghose,Veber,Egan,Muegge,LeadLike,ESOL_logS,Solubility,GI_absorption,BBB,Pgp_substrate,LogKp,CYP1A2_inhibitor,CYP2C9_inhibitor,CYP2C19_inhibitor,CYP2D6_inhibitor,CYP3A4_inhibitor,hERG,PAINS
C=CN1C=CN(Cc2ccc(O)cc2C(=O)c2ccc(O)cc2)CC1,6.131,True,C20H20N2O3,336.4,3.06,2,5,64.0,5,25,0.15,96.1,3,2,0.822,True,0,True,True,True,True,True,-3.88,Soluble,High,True,False,-6.18,False,False,True,True,True,Medium,
Cc1c(O)ccc(C(C)(C)c2ccc(O)cc2)c1Cl,6.494,True,C16H17ClO2,276.8,4.39,2,2,40.5,2,19,0.25,78.1,2,2,0.854,True,0,False,True,True,True,False,-4.65,Moderately Soluble,High,True,False,-4.87,False,False,True,False,True,Low,
Oc1ccc(-c2ccc(N3CCNCC3)c(Cl)c2)c2ccccc12,6.31,True,C20H19ClN2O,338.8,4.28,2,3,35.5,2,24,0.2,101.1,4,3,0.732,True,0,True,True,True,True,False,-5.0,Moderately Soluble,High,True,False,-5.33,False,False,True,True,True,High,
CCC12CCc3cc(O)ccc3OC1(c1cccc(O)c1)CC2=O,6.583,True,C20H20O4,324.4,3.69,2,4,66.8,2,24,0.35,89.2,4,2,0.884,True,0,True,True,True,True,True,-4.41,Moderately Soluble,High,True,False,-5.66,False,False,True,False,True,Low,
CCC12CCc3cc(O)ccc3OC1(Cc1ccccc1)CC2=O,6.494,True,C21H22O3,322.4,4.07,1,3,46.5,3,24,0.38,92.3,4,2,0.926,True,0,True,True,True,True,False,-4.57,Moderately Soluble,High,True,False,-5.38,True,False,True,False,True,Low,
CCC12Cc3cc(O)ccc3C1(C)c1ccc(O)cc1CCN2c1ccccn1,7.088,True,C25H26N2O2,386.5,4.57,2,4,56.6,2,29,0.32,114.7,5,3,0.678,True,0,True,True,True,True,False,-5.44,Moderately Soluble,High,True,False,-5.41,False,False,True,True,True,High,
CCN1CC(Cc2ccc(O)cc2)=C(c2ccc(O)cc2)C1,6.358,True,C19H21NO2,295.4,3.43,2,3,43.7,4,22,0.26,89.0,3,2,0.908,True,0,True,True,True,True,True,-3.97,Soluble,High,True,False,-5.67,False,False,True,True,True,Medium,
CCC1=C(c2ccc(O)cc2)C1=CCN1Cc2ccc(O)cc2C1,7.221,True,C21H21NO2,319.4,4.22,2,3,43.7,4,24,0.24,95.6,4,2,0.887,True,0,True,True,True,True,False,-4.58,Moderately Soluble,High,True,False,-5.25,False,False,True,True,True,High,
CCC1=C2C(=Cc3cc(O)ccc32)Cc2ccc(O)cc2CCN1c1ccco1,6.641,True,C25H23NO3,385.5,5.51,2,4,56.8,2,29,0.2,114.9,5,3,0.61,False,1,True,True,True,False,False,-6.01,Insoluble,High,True,False,-4.74,False,False,True,True,True,High,
CCS1=C(c2ccc(O)cc2)C(c2ccc(O)cc2)C1,6.467,True,C17H18O2S,286.4,3.7,2,2,40.5,3,20,0.24,86.1,3,2,0.845,True,0,True,True,True,True,True,-4.2,Moderately Soluble,High,True,False,-5.42,False,False,True,False,True,Low,thio_ketone(43)
